"ID","NAME","IATA","ICAO","LATITUDE","LONGITUDE","ALTITUDE","TIMEZONE","DST","TZDBTIME","AIRPORT_TYPE","SOURCE","CITY_ID"
12946,"Bulolo Airport","BUL","AYBU",-7.216286671410001,146.649541855,2240,10,"N","","airport","OurAirports",7464
12948,"Kintore Airport","","YKNT",-23.264999389648438,129.38699340820312,0,9.5,"N","","airport","OurAirports",6008
12950,"Statesboro Bulloch County Airport","TBR","KTBR",32.4827003479,-81.73690032959999,187,-5,"A","","airport","OurAirports",3159
12951,"Utopia Airport","","YUTP",-22.05500030517578,134.7899932861328,0,9.5,"N","","airport","OurAirports",2071
12957,"Nyrripi Airport","","YNRR",-22.645299911499023,130.56500244140625,0,9.5,"N","","airport","OurAirports",2094
12958,"Amata Airport","AMT","YAMT",-26.108299255371094,131.20700073242188,695,9.5,"O","","airport","OurAirports",5868
12961,"Glacier Country Heliport","","NZGH",-43.38722,170.18,457,13,"Z","","airport","OurAirports",6317
11583,"Hinton/Jasper-Hinton Airport","YJP","CEC4",53.3191986084,-117.752998352,4006,-7,"A","","airport","OurAirports",4520
11584,"University Airport","","",38.531137,-121.787423,62,-8,"A","","airport","User",6832
11585,"Garibaldi Brothers Airport","","",38.173663,-122.124524,12,-8,"A","","airport","User",6799
11589,"Billy Bishop Toronto City Airport Terminal","","",43.632523,-79.396345,250,-5,"A","","airport","User",702
11958,"Omsukchan Airport","","UHMF",62.457000732421875,155.7449951171875,1732,,"","","airport","OurAirports",1186
11959,"Chaybukha Airport","","UHMG",61.834999084472656,160.54800415039062,207,,"","","airport","OurAirports",4912
11960,"Keperveem Airport","","UHMK",67.8450012207,166.13999939,623,,"","","airport","OurAirports",4941
11961,"Magadan-13 Airport","","UHMT",59.62329864501953,150.9219970703125,164,,"","","airport","OurAirports",4970
11962,"Nikolayevsk-na-Amure Airport","NLI","UHNN",53.154999,140.649994,170,,"","","airport","OurAirports",1250
11963,"Palana Airport","","UHPL",59.08169937133789,159.88800048828125,112,,"","","airport","OurAirports",1133
11964,"Zheleznogorsk Airport","","UIBV",56.487701416015625,104.10600280761719,1946,,"","","airport","OurAirports",1249
11965,"Gvardeyskoe Air Base","","UKFG",45.1150016784668,33.97700119018555,721,,"","","airport","OurAirports",1701
11966,"Saki Air Base","","UKFI",45.09299850463867,33.595001220703125,36,,"","","airport","OurAirports",1695
11967,"Dzhankoy Airport","","UKFY",45.70090103149414,34.41889953613281,75,,"","","airport","OurAirports",5531
11968,"Ozerne Air Base","","UKKO",50.158298,28.7383,761,,"","","airport","OurAirports",1705
11969,"Severomorsk-1 Naval Air Base","","ULAK",69.03166961669922,33.418331146240234,239,,"","","airport","OurAirports",1216
11970,"Pushkin Airport","","ULLP",59.685001,30.338301,230,,"","","airport","OurAirports",1238
11971,"Siversky Air Base","","ULLS",59.3567008972168,30.036699295043945,341,,"","","airport","OurAirports",1170
11972,"Staraya Russa Air Base","","ULNR",57.961399,31.384399,52,,"","","airport","OurAirports",1232
11973,"Peski Airport","","ULPP",61.83194351196289,34.295555114746094,0,,"","","airport","OurAirports",1227
11974,"Baranavichi Air Base","","UMMA",53.099998474121094,26.049999237060547,0,,"","","airport","OurAirports",5144
11975,"Babruisk Air Base","","UMNB",53.105,29.205,502,,"","","airport","OurAirports",5143
11976,"Severo-Eniseysk Airport","","UNIS",60.37329864501953,93.01170349121094,1706,,"","","airport","OurAirports",1242
11977,"Sharypovo Airport","","UNKO",55.454914093,89.1738815308,1099,,"","","airport","OurAirports",1191
11978,"Omsk Severny Airport","","UNOS",54.9749984741,73.5550003052,0,,"","","airport","OurAirports",1111
