"CITY","COUNTRY","ID"
"Kearney","United States",7165
"Keene","United States",7166
"Kelso","United States",7167
"Kenai","United States",7168
"Kendall-tamiami","United States",7169
"Kenmore","United States",7170
"Kenosha","United States",7171
"Kent","United States",7172
"Keokuk","United States",7173
"Kernville","United States",7174
"Kerrville","United States",7175
"Ketchikan","United States",7176
"Key West","United States",7177
"Keystone","United States",7178
"Kiana","United States",7179
"Kill Devil Hills","United States",7180
"Killeen","United States",7181
"King Cove","United States",7182
"King Salmon","United States",7183
"Kingman","United States",7184
"Kingsville","United States",7185
"Kinston","United States",7186
"Kipnuk","United States",7187
"Kirksville","United States",7188
"Kirtland A.f.b.","United States",7189
"Kissimmee","United States",7190
"Kitoi Bay","United States",7191
"Kivalina","United States",7192
"Klamath Falls","United States",7193
"Klawock","United States",7194
"Knobnoster","United States",7195
"Knoxville","United States",7196
"Kobuk","United States",7197
"Kodiak","United States",7198
"Kokomo","United States",7199
"Koliganek","United States",7200
"Kona","United States",7201
"Kongiganak","United States",7202
"Kotlik","United States",7203
"Kotzebue","United States",7204
"Koyuk","United States",7205
"Koyukuk","United States",7206
"Kulik Lake","United States",7207
"Kuparuk","United States",7208
"Kwethluk","United States",7209
"Kwigillingok","United States",7210
"La Crosse","United States",7211
"La Junta","United States",7213
"LaGrange","United States",7216
"Lago Vista","United States",7219
"Lake Charles","United States",7221
"Lake Havasu City","United States",7224
"Lake Placid","United States",7226
"Lakeland","United States",7229
"Lamar","United States",7232
"Lancaster","United States",7235
"Larned","United States",7239
"Las Vegas","United States",7242
"Lawrence","United States",7245
"Lawton","United States",7247
"Leesburg","United States",7250
"Lewiston","United States",7254
"Lexington KY","United States",7257
"Lihue","United States",7260
"Lineville","United States",7264
"Livermore","United States",7267
"Lock Haven","United States",7270
"Lockport","United States",7271
"Lompoc","United States",7274
"Longview","United States",7278
"Los Alamos","United States",7281
"Louisville","United States",7284
"Lubbock","United States",7287
"Lumberton","United States",7290
"MINERAL POINT","United States",7294
"Mackminnville","United States",7297
"Macon","United States",7299
"Fiti\'uta","American Samoa",7302
"Georgetown","Cayman Islands",7304
"Brazzaville","Congo Republic",7306
"Brno","Czech Republic",7310
"Ceske Budejovice","Czech Republic",7313
"Karlovy Vary","Czech Republic",7316
"Line","Czech Republic",7319
"Johnston Island","Johnston Atoll",7320
"Barra","United Kingdom",7324
"Beccles","United Kingdom",7326
"Benbecula","United Kingdom",7329
"Birmingham","United Kingdom",7332
"Boscombe Down","United Kingdom",7335
"Bristol","United Kingdom",7338
"Burton-on-Trent","United Kingdom",7341
"Campbeltown","United Kingdom",7344
"Chalsgrove","United Kingdom",7347
"Coll","United Kingdom",7350
"Cosford","United Kingdom",7353
"Cranfield","United Kingdom",7356
"Culdrose","United Kingdom",7359
"Dundee","United Kingdom",7362
"East Midlands","United Kingdom",7364
"Enniskillen","United Kingdom",7368
"Fairford","United Kingdom",7372
"Fort William","United Kingdom",7375
"Foula","United Kingdom",7377
"Golouchestershire","United Kingdom",7380
"Haverfordwest","United Kingdom",7383
"Honington","United Kingdom",7386
"Islay","United Kingdom",7389
"Kinloss","United Kingdom",7391
"Land's End","United Kingdom",7394
"Leicester","United Kingdom",7398
"Liverpool","United Kingdom",7402
"Londonderry","United Kingdom",7405
"Lydd","United Kingdom",7408
"El Aaiún","Western Sahara",7412
"Ballalae","Solomon Islands",7416
"Fera Island","Solomon Islands",7420
"Honiara","Solomon Islands",7423
"Bleaker Island","Falkland Islands",7427
"Anaa","French Polynesia",7429
"Faaite","French Polynesia",7433
"Hao Island","French Polynesia",7436
"Kauehi","French Polynesia",7440
"Ailinglapalap Atoll","Marshall Islands",7442
"Aur Atoll","Marshall Islands",7445
"Ine","Marshall Islands",7450
"Kaben","Marshall Islands",7452
"Kwajalein","Marshall Islands",7454
"Awaba","Papua New Guinea",7458
"Bosset","Papua New Guinea",7462
"Daru","Papua New Guinea",7465
"Girua","Papua New Guinea",7469
"Ihu","Papua New Guinea",7473
"Kagi","Papua New Guinea",7476
"Kerema","Papua New Guinea",7480
"Kokoda","Papua New Guinea",7484
"Londolovit","Papua New Guinea",7487
"Losuia","Papua New Guinea",7488
"Madang","Papua New Guinea",7489
"Bata","Equatorial Guinea",7490
"Futuna Island","Wallis and Futuna",7491
"Cabo Rojo","Dominican Republic",7493
"Constanza","Dominican Republic",7494
"La Isabela","Dominican Republic",7495
"La Romana","Dominican Republic",7496
"Antigua","Antigua and Barbuda",7497
"Codrington","Antigua and Barbuda",7498
"Kralendijk","Netherlands Antilles",7499
"Abu Dhabi","United Arab Emirates",7500
"Baranavichi","Belarus",5144
"Brest","Belarus",5145
"Byaroza","Belarus",5146
"Gomel","Belarus",5147
"Hrodna","Belarus",5148
"Antwerp","Belgium",5149
"Beauvechain","Belgium",5150
"Bertrix","Belgium",5151
"Brussels","Belgium",5152
"Charleroi","Belgium",5153
"Chievres","Belgium",5154
"Florennes","Belgium",5155
"GOETSENHOVEN","Belgium",5156
"Hasselt","Belgium",5157
"Kleine Brogel","Belgium",5158
"Knokke","Belgium",5159
"Koksijde","Belgium",5160
"Kortrijk-vevelgem","Belgium",5161
"Leopoldsburg","Belgium",5162
"Liege","Belgium",5163
"Bermuda","Bermuda",5164
"Bermejo","Bolivia",5165
"Chapacura","Bolivia",5166
"Cobija","Bolivia",5167
"Cochabamba","Bolivia",5168
"Copacabana","Bolivia",5169
"Guayaramerín","Bolivia",5170
"La Paz","Bolivia",5171
"Bujumbura","Burundi",5172
