"ID","SRC_AIRPORT_ID","DEST_AIRPORT_ID","CODESHARE","STOPS","EQUIPMENT","DISTANCE_IN_KM","DISTANCE_IN_MI","AIRLINE_ICAO"
23472,1553,4198,"",0,"738",1195,743,"RYR"
23475,492,1056,"",0,"738",2971,1846,"RYR"
23477,1229,1055,"",0,"738",1573,977,"RYR"
23479,1229,1525,"",0,"738",1223,760,"RYR"
23481,1229,1489,"",0,"738",1979,1230,"RYR"
23484,1229,1553,"",0,"738",1363,847,"RYR"
23486,1229,1509,"",0,"738",1645,1022,"RYR"
23488,1229,1051,"",0,"738",1632,1014,"RYR"
23491,1229,1054,"",0,"738",1763,1096,"RYR"
23493,1229,1606,"",0,"738",1658,1030,"RYR"
23495,1229,1636,"",0,"738",440,273,"RYR"
23497,1229,1512,"",0,"738",1456,905,"RYR"
23500,1229,1072,"",0,"738",766,476,"RYR"
23502,1229,1243,"",0,"738",485,302,"RYR"
23504,1229,1057,"",0,"738",1770,1100,"RYR"
23506,1229,1080,"",0,"738",566,351,"RYR"
23509,1231,1246,"",0,"738",405,252,"RYR"
23511,478,1230,"",0,"738",1862,1157,"RYR"
21575,3885,3376,"",0,"73G",2343,1456,"CSN"
21577,3320,3370,"",0,"332",7062,4388,"CSN"
21580,3370,2006,"",0,"787",9284,5769,"CSN"
21582,3370,6427,"",0,"E90",879,546,"CSN"
21584,3370,9025,"",0,"319",897,557,"CSN"
21586,3370,3885,"",0,"320 738 763",1705,1059,"CSN"
21589,3370,6352,"",0,"319",634,394,"CSN"
21591,3370,3375,"",0,"738 733 73G",1234,767,"CSN"
21593,3370,6343,"",0,"320",1425,886,"CSN"
21595,3370,3931,"",0,"73G",1574,978,"CSN"
21597,3370,3395,"",0,"738 321 320",1222,759,"CSN"
21600,3370,3196,"",0,"738",973,605,"CSN"
21602,3370,6375,"",0,"319",1452,902,"CSN"
21605,3942,3404,"",0,"319",1433,890,"CSN"
21607,3942,4144,"",0,"319",1385,861,"CSN"
21609,3388,4380,"",0,"319",1485,923,"CSN"
21611,3388,3404,"",0,"320 738",837,520,"CSN"
21614,3388,6345,"Y",0,"737",1191,740,"CSN"
50254,2994,11051,"",0,"321",2148,1335,"QTR"
50265,3930,3390,"",0,"320 321",558,347,"AAR"
