longitude,latitude,crs,lit,name,osm,light:method,light:direction,height,support
11.0681466,49.4688463,EPSG:4326,no,Bucher Straße/Nordring,n16538083,,,,
11.1529175,49.4163197,EPSG:4326,yes,,n21724864,,,,
11.0452625,49.4968207,EPSG:4326,yes,Buch Mitte,n31517330,,,,
11.1321895,49.4457744,EPSG:4326,yes,Wohnstift am Tiergarten,n32693571,,,,
11.129951,49.4292846,EPSG:4326,no,Frankenstadion,n48931481,,,,
11.1031992,49.4933098,EPSG:4326,no,Loeschweg,n60598594,,,,
11.1016587,49.5008419,EPSG:4326,no,Zum Felsenkeller,n132913663,,,,
11.1105765,49.5027154,EPSG:4326,yes,Paulusstein,n132913671,,,,
11.0814371,49.4585816,EPSG:4326,yes,Maxtor,n138539637,,,,
11.1056817,49.480808,EPSG:4326,no,Loher Moos,n174497365,,,,
11.124361,49.4864351,EPSG:4326,yes,Nordostpark Mitte,n177008747,,,,
11.167285,49.4675107,EPSG:4326,yes,Hammer,n225390488,,,,
11.0252239,49.3766742,EPSG:4326,yes,Mühlhof,n244477419,,,,
11.1030888,49.4637559,EPSG:4326,no,Bismarckschule,n245571747,,,,
11.1028803,49.468162,EPSG:4326,yes,Carl-von-Linde-Straße,n245775292,,,,
11.1026741,49.4673045,EPSG:4326,yes,Carl-von-Linde-Straße,n246821343,,,,
11.0484819,49.5167881,EPSG:4326,yes,Kriegerdenkmal,n247045387,,,,
11.1051971,49.5068606,EPSG:4326,yes,Nuschelbergweg,n247090796,,,,
11.0790256,49.4558734,EPSG:4326,yes,Rathaus,n247270357,,,,
11.1480065,49.409186,EPSG:4326,yes,Hirschberger Straße,n249711457,,,,
11.1090491,49.4695537,EPSG:4326,yes,Theresienkrankenhaus,n250273373,,,,
11.1089739,49.4693926,EPSG:4326,yes,Theresienkrankenhaus,n250273375,,,,
11.0967784,49.4459136,EPSG:4326,yes,Stephanstraße,n252412056,,,,
11.0295647,49.3790853,EPSG:4326,no,Reichelsdorf Süd,n254433072,,,,
11.0293096,49.3790786,EPSG:4326,yes,Reichelsdorf Süd,n254433076,,,,
11.1030792,49.5055804,EPSG:4326,yes,Ohrwaschelweg,n257074463,,,,
11.1275158,49.4871901,EPSG:4326,yes,Nordostpark Ost,n258639024,,,,
11.1152449,49.481466,EPSG:4326,yes,Hiltpoltsteiner Straße,n258639028,,,,
11.1173075,49.4809462,EPSG:4326,yes,Schafhofstraße,n258639030,,,,
11.2588799,49.4348401,EPSG:4326,no,Brunn Schleife,n266513683,,,,
11.1052091,49.4743529,EPSG:4326,no,Bessemerstraße,n266858781,,,,
11.1386779,49.4150467,EPSG:4326,no,Kafkastraße,n268044107,,,,
11.1353014,49.4132354,EPSG:4326,yes,Tucholskystraße,n268044476,,,,
11.0186618,49.5310685,EPSG:4326,no,Großgründlach Nord,n268401573,,,,
11.0184105,49.531384,EPSG:4326,no,Großgründlach Nord,n268401611,,,,
11.0150214,49.4412847,EPSG:4326,yes,Clarsbacher Straße,n268513260,,,,
11.0100442,49.4409951,EPSG:4326,no,Kleinreuth bei Schweinau,n268514128,,,,
11.0054121,49.4401986,EPSG:4326,yes,Rothenburger/Sigmundstraße,n268514137,,,,
11.0231211,49.4414127,EPSG:4326,yes,Lehrberger Straße,n268514837,,,,
11.0010217,49.438494,EPSG:4326,yes,Diebacher Straße,n275702059,,,,
11.0018322,49.4317675,EPSG:4326,yes,Hohenecker Weg,n275999408,,,,
11.0540776,49.4654689,EPSG:4326,yes,Nordwestring,n283233588,,,,
11.0552254,49.4656342,EPSG:4326,yes,Nordwestring,n283233589,,,,
11.122621,49.4484535,EPSG:4326,yes,Passauer Straße,n287968961,,,,
11.0232625,49.4336023,EPSG:4326,no,Edisonstraße,n288759706,,,,
11.0289836,49.4319185,EPSG:4326,no,Kirchhoffstraße,n288760429,,,,
11.0280144,49.4366169,EPSG:4326,yes,Bayerischer Rundfunk,n288781170,,,,
11.0880901,49.4703148,EPSG:4326,yes,Schopenhauerstraße,n290001444,,,,
11.0883704,49.4705997,EPSG:4326,no,Schopenhauerstraße,n290001447,,,,
11.0885973,49.470734,EPSG:4326,yes,Schopenhauerstraße,n290001448,,,,
11.0886047,49.466197,EPSG:4326,yes,Friedenstraße,n290003229,,,,
11.0840661,49.4609779,EPSG:4326,yes,Maxfeldstraße,n290003232,,,,
11.0784549,49.4533185,EPSG:4326,yes,Heilig-Geist-Spital,n290003236,,,,
11.2518392,49.4359475,EPSG:4326,yes,Brunn Mitte,n291372954,,,,
11.0716579,49.4745723,EPSG:4326,yes,Kleinreuth h.d. Veste,n292088677,,,,
11.1229871,49.4824392,EPSG:4326,yes,Sieboldstraße,n292201791,,,,
11.1168489,49.4778577,EPSG:4326,yes,Bennostraße,n292202145,,,,
11.1227091,49.4823148,EPSG:4326,yes,,n293118958,,,,
11.0896526,49.4701822,EPSG:4326,no,Schopenhauerstraße,n294902570,,,,
11.0816006,49.4697496,EPSG:4326,yes,Rollnerstraße / Nordring,n295326612,,,,
11.0812835,49.4689042,EPSG:4326,yes,Rollnerstraße / Nordring,n295328186,,,,
11.0819228,49.469349,EPSG:4326,no,Rollnerstraße / Nordring,n295328187,,,,
11.0808651,49.4696061,EPSG:4326,yes,Rollnerstraße / Nordring,n295328378,,,,
11.0943028,49.4704467,EPSG:4326,yes,Hintermayrstraße,n302323476,,,,
11.0954598,49.4702516,EPSG:4326,yes,Hintermayrstraße,n302323477,,,,
11.0993265,49.4715733,EPSG:4326,yes,Merianstraße,n302323478,,,,
11.0990172,49.4715131,EPSG:4326,yes,Merianstraße,n302323479,,,,
11.0753421,49.4695935,EPSG:4326,yes,Röthensteig,n302325811,,,,
11.0741454,49.469374,EPSG:4326,yes,Röthensteig,n302325812,,,,
11.0121819,49.4490844,EPSG:4326,yes,Lenkersheimer Straße,n305388408,,,,
11.0035392,49.4502473,EPSG:4326,no,Höfener Spange,n305753027,,,,
11.0093627,49.4546228,EPSG:4326,yes,Oststraße,n305767996,,,,
11.0772748,49.4739765,EPSG:4326,no,Kilianstraße,n308751277,,,,
11.0078668,49.4256613,EPSG:4326,yes,Glafeystraße,n310127348,,,,
11.016474,49.4296859,EPSG:4326,no,Rezatweg,n310788708,,,,
11.001663,49.4316326,EPSG:4326,yes,Hohenecker Weg,n310791863,,,,
11.0123492,49.427176,EPSG:4326,no,Püttlachweg,n310818693,,,,
11.0181738,49.4277683,EPSG:4326,yes,Südwestpark,n310819728,,,,
11.0153932,49.4260734,EPSG:4326,no,Willstätterstraße,n310820551,,,,
11.0050504,49.4293401,EPSG:4326,yes,Bibertstraße,n311184359,,,,
11.1019074,49.4712481,EPSG:4326,yes,Nordostbahnhof,n313785226,,,,
11.1040674,49.4748277,EPSG:4326,no,Bessemerstraße,n313785228,,,,
11.0565858,49.3513771,EPSG:4326,yes,Katzwang Mitte,n315499057,,,,
11.0563576,49.3513491,EPSG:4326,no,Katzwang Mitte,n315499058,,,,
11.0781859,49.3711256,EPSG:4326,yes,Herpersdorf,n316024644,,,,
11.0781602,49.3713947,EPSG:4326,yes,Herpersdorf,n316024645,,,,
11.0832163,49.3713451,EPSG:4326,yes,Röthestraße,n316024646,,,,
11.0816705,49.3716671,EPSG:4326,yes,Röthestraße,n316024647,,,,
11.0730229,49.384926,EPSG:4326,yes,Königshof,n316029914,,,,
11.0673456,49.3790451,EPSG:4326,yes,Propsteistraße,n316038383,,,,
11.0667286,49.3757831,EPSG:4326,no,Weiherhaus,n316038387,,,,
11.0670096,49.3758535,EPSG:4326,yes,Weiherhaus,n316038388,,,,
11.0641463,49.3728476,EPSG:4326,yes,Stockweiher,n316038393,,,,
11.0640532,49.3727505,EPSG:4326,no,Stockweiher,n316038398,,,,
11.0730003,49.3715202,EPSG:4326,yes,Sigmund-Freud-Straße,n316038456,,,,
11.072569,49.3714348,EPSG:4326,no,Sigmund-Freud-Straße,n316038462,,,,
11.0745709,49.3785776,EPSG:4326,yes,Burkhardtstraße,n316038469,,,,
11.0197619,49.4411476,EPSG:4326,yes,Regelsbacher Straße,n318561991,,,,
11.0328919,49.3882418,EPSG:4326,yes,Koppenhof,n320776244,,,,
11.0331975,49.3878522,EPSG:4326,yes,Koppenhof,n320776380,,,,
11.0324451,49.3878086,EPSG:4326,yes,Koppenhof,n320776454,,,,
11.0321419,49.3881777,EPSG:4326,no,Koppenhof Wende,n320776682,,,,
11.0491224,49.5112043,EPSG:4326,no,Kraftshof,n321794396,,,,
