city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bucharest,44.4325,26.1039,Romania,RO,Bucureşti,primary,2412530,1716961
Cluj-Napoca,46.7667,23.5833,Romania,RO,Cluj,admin,286598,286598
Iaşi,47.1622,27.5889,Romania,RO,Iaşi,admin,271692,271692
Constanţa,44.1667,28.6333,Romania,RO,Constanţa,admin,263707,263707
Timişoara,45.7597,21.2300,Romania,RO,Timiş,admin,250849,250849
Braşov,45.6667,25.6167,Romania,RO,Braşov,admin,237589,237589
Craiova,44.3333,23.8167,Romania,RO,Dolj,admin,234140,234140
Galaţi,45.4233,28.0425,Romania,RO,Galaţi,admin,217851,217851
Oradea,47.0722,21.9211,Romania,RO,Bihor,admin,183105,183105
Ploieşti,44.9411,26.0225,Romania,RO,Prahova,admin,180539,180539
Brăila,45.2692,27.9575,Romania,RO,Brăila,admin,154686,154686
Arad,46.1750,21.3125,Romania,RO,Arad,admin,145078,145078
Piteşti,44.8606,24.8678,Romania,RO,Argeş,admin,141275,141275
Bacău,46.5833,26.9167,Romania,RO,Bacău,admin,136087,136087
Sibiu,45.7928,24.1519,Romania,RO,Sibiu,admin,134308,134308
Târgu-Mureş,46.5456,24.5625,Romania,RO,Mureş,admin,116033,116033
Baia Mare,47.6567,23.5719,Romania,RO,Maramureş,admin,108759,108759
Buzău,45.1531,26.8208,Romania,RO,Buzău,admin,103481,103481
Râmnicu Vâlcea,45.1047,24.3756,Romania,RO,Vâlcea,admin,93151,93151
Satu Mare,47.7900,22.8900,Romania,RO,Satu Mare,admin,91520,91520
Botoşani,47.7486,26.6694,Romania,RO,Botoşani,admin,90010,90010
Suceava,47.6514,26.2556,Romania,RO,Suceava,admin,84322,84322
Reşiţa,45.3008,21.8892,Romania,RO,Caraş-Severin,admin,83324,83324
Drobeta-Turnu Severin,44.6333,22.6500,Romania,RO,Mehedinţi,admin,79865,79865
Piatra Neamţ,46.9275,26.3708,Romania,RO,Neamţ,admin,79679,79679
Bistriţa,47.1333,24.5000,Romania,RO,Bistriţa-Năsăud,admin,78877,78877
Târgu Jiu,45.0342,23.2747,Romania,RO,Gorj,admin,73545,73545
Târgovişte,44.9244,25.4572,Romania,RO,Dâmboviţa,admin,66965,66965
Focşani,45.7000,27.1797,Romania,RO,Vrancea,admin,66648,66648
Tulcea,45.1900,28.8000,Romania,RO,Tulcea,admin,65624,65624
Alba Iulia,46.0669,23.5700,Romania,RO,Alba,admin,64227,64227
Slatina,44.4297,24.3642,Romania,RO,Olt,admin,63487,63487
Vaslui,46.6383,27.7292,Romania,RO,Vaslui,admin,63035,63035
Călăraşi,44.2000,27.3333,Romania,RO,Călăraşi,admin,58211,58211
Giurgiu,43.9008,25.9739,Romania,RO,Giurgiu,admin,54551,54551
Popeşti-Leordeni,44.3800,26.1700,Romania,RO,Ilfov,,53434,53434
Deva,45.8781,22.9144,Romania,RO,Hunedoara,,53113,53113
Bârlad,46.2167,27.6667,Romania,RO,Vaslui,,52475,52475
Zalău,47.1911,23.0572,Romania,RO,Sălaj,admin,52359,52359
Hunedoara,45.7697,22.9203,Romania,RO,Hunedoara,admin,50457,50457
Floreşti,46.7475,23.4908,Romania,RO,Cluj,,50307,50307
Sfântu-Gheorghe,45.8636,25.7875,Romania,RO,Covasna,admin,50080,50080
Roman,46.9300,26.9300,Romania,RO,Neamţ,,48644,48644
Voluntari,44.4925,26.1914,Romania,RO,Bucureşti,,47366,47366
Turda,46.5667,23.7833,Romania,RO,Cluj,,43319,43319
Miercurea-Ciuc,46.3594,25.8017,Romania,RO,Harghita,admin,42029,42029
Slobozia,44.5639,27.3661,Romania,RO,Ialomiţa,admin,41550,41550
Alexandria,43.9686,25.3333,Romania,RO,Teleorman,admin,40390,40390
Bragadiru,44.3708,25.9750,Romania,RO,Ilfov,,40080,40080
Media,46.1500,24.3500,Romania,RO,Sibiu,,39505,39505
Lugoj,45.7056,21.9258,Romania,RO,Timiş,,35450,35450
Medgidia,44.2503,28.2614,Romania,RO,Constanţa,,34612,34612
Năvodari,44.3211,28.6133,Romania,RO,Constanţa,,34398,34398
Oneşti,46.2586,26.7692,Romania,RO,Bacău,,34005,34005
Pantelimon,44.4500,26.2000,Romania,RO,Ilfov,,32873,32873
Tecuci,45.8467,27.4278,Romania,RO,Galaţi,,32801,32801
Sighetu Marmaţiei,47.9286,23.8925,Romania,RO,Maramureş,,32793,32793
Mangalia,43.8172,28.5828,Romania,RO,Constanţa,,31950,31950
Dej,47.0872,23.8053,Romania,RO,Cluj,,31475,31475
Odorheiu Secuiesc,46.3139,25.3017,Romania,RO,Harghita,,31335,31335
Petroşani,45.4122,23.3733,Romania,RO,Hunedoara,,31044,31044
Săcele,45.6200,25.7097,Romania,RO,Braşov,,30920,30920
Paşcani,47.2494,26.7272,Romania,RO,Iaşi,,30766,30766
Râmnicu Sărat,45.3800,27.0600,Romania,RO,Buzău,,29774,29774
Reghin,46.7758,24.7083,Romania,RO,Mureş,,29742,29742
Mioveni,44.9569,24.9406,Romania,RO,Argeş,,29317,29317
Câmpina,45.1300,25.7400,Romania,RO,Prahova,,28993,28993
Borşa,47.6553,24.6631,Romania,RO,Maramureş,,27711,27711
Câmpulung,45.2678,25.0464,Romania,RO,Argeş,,27574,27574
Feteşti,44.4150,27.8236,Romania,RO,Ialomiţa,,27465,27465
Caracal,44.1125,24.3472,Romania,RO,Olt,,27403,27403
Sebeş,45.9600,23.5700,Romania,RO,Alba,,26490,26490
Făgăraş,45.8447,24.9742,Romania,RO,Braşov,,26284,26284
